3.680120E+03	3.668050E+03	3.654250E+03	3.617610E+03	3.594380E+03	3.564180E+03	3.561990E+03
3.678480E+03	3.665020E+03	3.651010E+03	3.613000E+03	3.589110E+03	3.565110E+03	3.560470E+03
3.677230E+03	3.663350E+03	3.648630E+03	3.608950E+03	3.584490E+03	3.564990E+03	3.554550E+03
3.676440E+03	3.662560E+03	3.646790E+03	3.605920E+03	3.583020E+03	3.563330E+03	3.555120E+03
3.676760E+03	3.665270E+03	3.644880E+03	3.606110E+03	3.584700E+03	3.564170E+03	3.554700E+03
3.682190E+03	3.672190E+03	3.642980E+03	3.615390E+03	3.587010E+03	3.567410E+03	3.558010E+03
3.682860E+03	3.671370E+03	3.637530E+03	3.613640E+03	3.583070E+03	3.564340E+03	3.556710E+03
3.681120E+03	3.667810E+03	3.630830E+03	3.607320E+03	3.575850E+03	3.560850E+03	3.554230E+03
3.678700E+03	3.665450E+03	3.627100E+03	3.604110E+03	3.571070E+03	3.563650E+03	3.550220E+03
3.676960E+03	3.663470E+03	3.625590E+03	3.602920E+03	3.570700E+03	3.562310E+03	3.550700E+03
3.674930E+03	3.661250E+03	3.623980E+03	3.601240E+03	3.569690E+03	3.562690E+03	3.549890E+03
3.671590E+03	3.658070E+03	3.621650E+03	3.598820E+03	3.565730E+03	3.561730E+03	3.549030E+03
